warehouse,asset,older_name,manager_ip,vendor,new_name
YHG,YH11010063,BJ-YHG-A-3560x-16.35.17-I0,172.16.35.17,cisco,ias1.yhg.sinanode.com
YHG,YH12070024,BJ-YHG-A-3560X-13.53.10-E0,111.13.53.10,cisco,eas2.yhg.sinanode.com
YHG,YH12070025,BJ-YHG-A-3560X-13.53.11-E0,111.13.53.11,cisco,eas3.yhg.sinanode.com
YHG,YH12070031,BJ-YHG-A-3560X-13.53.12-E0,111.13.53.12,cisco,eas4.yhg.sinanode.com
YHG,YH12090056,BJ-YHG-A-3560X-13.53.13-E0,111.13.53.13,cisco,eas5.yhg.sinanode.com
YHG,YH12090057,BJ-YHG-A-3560X-13.53.14-E0,111.13.53.14,cisco,eas6.yhg.sinanode.com
YHG,YH08010016,BJ-YHG-A-3560g-13.53.15-E0,111.13.53.15,cisco,eas7.yhg.sinanode.com
YHG,05083014,BJ-YHG-A-3750g-13.53.16-E0,111.13.53.16,cisco,eas8.yhg.sinanode.com
YHG,YH08050064,BJ-YHG-A-3560g-13.53.17-E0,111.13.53.17,cisco,eas9.yhg.sinanode.com
YHG,YH08070047,BJ-YHG-A-3560g-13.53.18-E0,111.13.53.18,cisco,eas10.yhg.sinanode.com
YHG,YH07110015,BJ-YHG-A-3560g-13.53.19-E0,111.13.53.19,cisco,eas11.yhg.sinanode.com
YHG,05103363,BJ-YHG-A-3560g-13.53.20-E0,111.13.53.20,cisco,eas12.yhg.sinanode.com
YHG,YH06050006,BJ-YHG-A-3560g-13.53.21-E0,111.13.53.21,cisco,eas13.yhg.sinanode.com
YHG,YH11080085,BJ-YHG-A-3560X-13.53.22-E0,111.13.53.22,cisco,eas14.yhg.sinanode.com
YHG,YH08050012,BJ-YHG-A-3560g-13.53.23-E0,111.13.53.23,cisco,eas15.yhg.sinanode.com
YHG,YH10060067,BJ-YHG-A-3560g-13.53.24-E0,111.13.53.24,cisco,eas16.yhg.sinanode.com
YHG,YH11070095,BJ-YHG-A-3560X-13.53.25-E0,111.13.53.25,cisco,eas17.yhg.sinanode.com
YHG,YH11070096,BJ-YHG-A-3560X-13.53.26-E0,111.13.53.26,cisco,eas18.yhg.sinanode.com
YHG,YH11080132,BJ-YHG-A-3560g-13.53.27-E0,111.13.53.27,cisco,eas19.yhg.sinanode.com
YHG,YH11090024,BJ-YHG-A-3560X-13.53.28-E0,111.13.53.28,cisco,eas20.yhg.sinanode.com
YHG,YH11090025,BJ-YHG-A-3560X-13.52.29-E0,111.13.53.29,cisco,eas21.yhg.sinanode.com
YHG,YH11100001,BJ-YHG-A-3560X-13.53.30-E0,111.13.53.30,cisco,eas22.yhg.sinanode.com
YHG,YH11100002,BJ-YHG-A-3560X-13.53.31-E0,111.13.53.31,cisco,eas23.yhg.sinanode.com
YHG,YH11100086,BJ-YHG-A-3560X-13.53.32-E0,111.13.53.32,cisco,eas24.yhg.sinanode.com
YHG,YH11100087,BJ-YHG-A-3560X-13.53.33-E0,111.13.53.33,cisco,eas25.yhg.sinanode.com
YHG,YH11100124,BJ-YHG-A-3560X-13.53.34-E0,111.13.53.34,cisco,eas26.yhg.sinanode.com
YHG,YH11100098,BJ-YHG-A-3560X-13.53.35-E0,111.13.53.35,cisco,eas27.yhg.sinanode.com
YHG,YH11100099,BJ-YHG-A-3560X-13.53.36-E0,111.13.53.36,cisco,eas28.yhg.sinanode.com
YHG,YH11100100,BJ-YHG-A-3560X-13.53.37-E0,111.13.53.37,cisco,eas29.yhg.sinanode.com
YHG,YH11100101,BJ-YHG-A-3560X-13.53.38-E0,111.13.53.38,cisco,eas30.yhg.sinanode.com
